cause,cause_cluster,effect,effect_cluster,text,id
our organs,1,an emanating problem,8,"where's the bar, where's the battery? electric usage dissuaded in japan following fukushima disaster. they've made regulations, let's look at them. let's make everyone an inclusion zone and not have an emanating problem from ourselves, our organs. thyroid for all.",149
the radiation,3,radioactive particles,3,"the nuclear disaster of fukushima in 2011 continues to have devasating results. after all the physical damage, the radiation has led to radioactive particles found across the pacific and increased thyroid cancer rates in infant girls who were exposed.",150
tohoku earthquake,15,nuclear accident,0,tohoku earthquake causes nuclear accident in japan sparking an energy shortage leading to a movement called setsudan.  this saving energy movement led to decreased electricity use.,151
nuclear accident,0,an energy shortage,2,tohoku earthquake causes nuclear accident in japan sparking an energy shortage leading to a movement called setsudan.  this saving energy movement led to decreased electricity use.,152
an energy shortage,2,a movement,2,tohoku earthquake causes nuclear accident in japan sparking an energy shortage leading to a movement called setsudan.  this saving energy movement led to decreased electricity use.,153
this saving energy movement,2,decreased electricity use,2,tohoku earthquake causes nuclear accident in japan sparking an energy shortage leading to a movement called setsudan.  this saving energy movement led to decreased electricity use.,154
the tohoku earthquake,15,the 2011 fukushima disaster,0,"reflecting on the 2011 fukushima disaster triggered by the tōhoku earthquake and tsunami. from a nuclear crisis to setsuden, it reshaped japan’s energy landscape and affected lives globally. fukushima tsunami nucleardisaster energycrisis setsuden japan",155
tsunami,6,the 2011 fukushima disaster,0,"reflecting on the 2011 fukushima disaster triggered by the tōhoku earthquake and tsunami. from a nuclear crisis to setsuden, it reshaped japan’s energy landscape and affected lives globally. fukushima tsunami nucleardisaster energycrisis setsuden japan",156
a massive earthquake,1,a meltdown,0,"a massive earthquake in japan in 2011 triggers a meltdown at a nearby nuclear facility, forcing the japanese people to devise methods to conserve electricity. ",157
a natural disaster,17,a leak,3,"learnfromhistory
in 2011, a nuclear factory in fukushima experienced a leak due to a natural disaster.",158
the earthquake,1,a tsunami,6,"so sad to hear about the earthquake in japan that triggered a tsunami, impacting a power plant and how it's impacting the country years later. i learned that girls are more likely to develop thyroid cancer due to radiation levels. there's also an energy shortage. ",159
radiation levels,3,thyroid cancer,19,"so sad to hear about the earthquake in japan that triggered a tsunami, impacting a power plant and how it's impacting the country years later. i learned that girls are more likely to develop thyroid cancer due to radiation levels. there's also an energy shortage. ",160
an earthquake,1,destroyed,13,"tragedy stuck off the coast of japan in 2011 with a nuclear power plant being destroyed by an earthquake and tsunami. this caused 156,000 to be displaced over the period of years. however, during this japan learned dependence on renewable energy. greenenergy makinglemonade",161
tsunami,6,displaced,14,"tragedy stuck off the coast of japan in 2011 with a nuclear power plant being destroyed by an earthquake and tsunami. this caused 156,000 to be displaced over the period of years. however, during this japan learned dependence on renewable energy. greenenergy makinglemonade",162
the tohoku earthquake,15,the fukushima nuclear disaster,0,the passage is about the tohoku earthquake that caused the fukushima nuclear disaster. radiation could be found in a wide variety of places including off the coast of california. this lead to many concerns including infant girls being at a higher risk of thyroid cancer. ,163
the tohoku earthquake,15,many concerns,8,the passage is about the tohoku earthquake that caused the fukushima nuclear disaster. radiation could be found in a wide variety of places including off the coast of california. this lead to many concerns including infant girls being at a higher risk of thyroid cancer. ,164
the nuclear accident,0,thyroid issues,19,"climate change has real and lasting physical consequences as evidenced by the number of women diagnosed with thyroid issues following the nuclear accident in fukushima, caused by the tohuku earthquake in 2011.",165
the tohuku earthquake,15,the nuclear accident,0,"climate change has real and lasting physical consequences as evidenced by the number of women diagnosed with thyroid issues following the nuclear accident in fukushima, caused by the tohuku earthquake in 2011.",166
fukushima,0,thyroid cancer,19,infant girls exposed to the radiation have a 70% chance to develop thyroid cancer because of fukushima.  it was a deadly disaster causing much destruction.,167
a deadly disaster,4,much destruction,13,infant girls exposed to the radiation have a 70% chance to develop thyroid cancer because of fukushima.  it was a deadly disaster causing much destruction.,168
fukushima nuclear disaster,0,massive dame,1,fukushima nuclear disaster in 20111 caused massive dame but ends up causing reduction in energy usage in japan ,169
fukushima nuclear disaster,0,reduction,9,fukushima nuclear disaster in 20111 caused massive dame but ends up causing reduction in energy usage in japan ,170
a devastating earthquake,1,a nuclear disaster,0,"remembering fukushima: 11 yrs ago, a devastating earthquake & tsunami caused a nuclear disaster, displacing 156,000 people & spreading radioactive particles across the pacific. let's honor the victims & continue to prioritize safety & sustainability fukushima nucleardisaster",171
tsunami,6,a nuclear disaster,0,"remembering fukushima: 11 yrs ago, a devastating earthquake & tsunami caused a nuclear disaster, displacing 156,000 people & spreading radioactive particles across the pacific. let's honor the victims & continue to prioritize safety & sustainability fukushima nucleardisaster",172
